X=0.82, Y=0.45, Roll=4.7, Pitch=4.6, Yaw=84.8, State=APPROACH, Goal=False, Color=青
X=-3.19, Y=0.60, Roll=-4.9, Pitch=1.9, Yaw=285.9, State=GOAL, Goal=False, Color=赤
X=-4.05, Y=1.51, Roll=0.2, Pitch=-1.5, Yaw=167.8, State=APPROACH, Goal=True, Color=青
X=-3.92, Y=1.09, Roll=-1.0, Pitch=1.0, Yaw=91.5, State=GOAL, Goal=False, Color=
X=-4.74, Y=0.54, Roll=2.0, Pitch=-3.2, Yaw=223.2, State=SEARCH, Goal=True, Color=青
X=-4.50, Y=1.44, Roll=4.0, Pitch=0.2, Yaw=304.2, State=APPROACH, Goal=True, Color=赤
X=-4.88, Y=0.54, Roll=-1.9, Pitch=-2.3, Yaw=157.0, State=APPROACH, Goal=True, Color=緑
X=-5.12, Y=0.76, Roll=4.0, Pitch=-3.1, Yaw=114.6, State=APPROACH, Goal=True, Color=赤
X=-5.25, Y=1.35, Roll=-2.2, Pitch=-1.9, Yaw=338.8, State=APPROACH, Goal=True, Color=緑
X=-4.34, Y=2.18, Roll=-3.7, Pitch=-3.9, Yaw=343.9, State=SEARCH, Goal=False, Color=赤
X=-3.36, Y=2.73, Roll=2.6, Pitch=1.9, Yaw=72.8, State=APPROACH, Goal=False, Color=
X=-3.98, Y=2.73, Roll=2.6, Pitch=3.4, Yaw=140.1, State=GOAL, Goal=True, Color=緑
X=-3.96, Y=2.72, Roll=0.1, Pitch=1.0, Yaw=329.0, State=SEARCH, Goal=True, Color=赤
X=-3.62, Y=1.72, Roll=-1.1, Pitch=-1.4, Yaw=36.3, State=APPROACH, Goal=False, Color=緑
X=-3.57, Y=2.43, Roll=1.6, Pitch=0.7, Yaw=67.3, State=SEARCH, Goal=False, Color=青
X=-2.79, Y=2.16, Roll=-1.5, Pitch=-3.5, Yaw=76.9, State=SEARCH, Goal=True, Color=緑
X=-3.00, Y=1.66, Roll=-3.3, Pitch=-0.3, Yaw=175.9, State=APPROACH, Goal=True, Color=赤
X=-3.56, Y=1.26, Roll=4.2, Pitch=-4.2, Yaw=295.2, State=SEARCH, Goal=False, Color=緑
X=-4.52, Y=1.90, Roll=-4.4, Pitch=1.4, Yaw=17.8, State=APPROACH, Goal=False, Color=緑
X=-4.49, Y=2.03, Roll=-2.2, Pitch=4.5, Yaw=150.2, State=SEARCH, Goal=True, Color=緑
X=-4.00, Y=2.02, Roll=-0.8, Pitch=-0.8, Yaw=353.0, State=GOAL, Goal=True, Color=
X=-4.29, Y=2.82, Roll=-1.8, Pitch=-1.8, Yaw=110.9, State=SEARCH, Goal=False, Color=
X=-4.08, Y=1.97, Roll=-4.0, Pitch=0.8, Yaw=41.4, State=APPROACH, Goal=False, Color=赤
X=-4.59, Y=2.63, Roll=-2.8, Pitch=3.0, Yaw=56.2, State=GOAL, Goal=False, Color=赤
X=-4.09, Y=3.32, Roll=0.6, Pitch=2.6, Yaw=232.6, State=GOAL, Goal=True, Color=赤
X=-3.60, Y=4.29, Roll=-1.6, Pitch=-5.0, Yaw=296.5, State=APPROACH, Goal=False, Color=
X=-3.00, Y=4.50, Roll=-4.3, Pitch=-0.5, Yaw=161.7, State=APPROACH, Goal=True, Color=緑
X=-3.03, Y=4.15, Roll=2.8, Pitch=-3.4, Yaw=84.3, State=APPROACH, Goal=False, Color=
X=-3.93, Y=5.04, Roll=-3.0, Pitch=-3.7, Yaw=112.9, State=APPROACH, Goal=True, Color=
X=-4.84, Y=4.04, Roll=-2.2, Pitch=-1.0, Yaw=283.5, State=GOAL, Goal=True, Color=赤
X=-5.83, Y=5.00, Roll=3.5, Pitch=-4.1, Yaw=129.0, State=GOAL, Goal=True, Color=青
X=-6.70, Y=4.96, Roll=-2.6, Pitch=-0.7, Yaw=310.5, State=APPROACH, Goal=False, Color=青
X=-6.91, Y=4.41, Roll=-3.1, Pitch=-0.4, Yaw=41.3, State=SEARCH, Goal=True, Color=青
X=-7.59, Y=4.90, Roll=1.0, Pitch=-2.7, Yaw=291.9, State=SEARCH, Goal=False, Color=
X=-8.39, Y=5.54, Roll=-2.5, Pitch=-4.6, Yaw=22.2, State=SEARCH, Goal=False, Color=赤
X=-8.65, Y=5.68, Roll=-4.3, Pitch=1.4, Yaw=34.4, State=APPROACH, Goal=False, Color=青
X=-9.34, Y=6.27, Roll=0.6, Pitch=-3.0, Yaw=67.4, State=GOAL, Goal=False, Color=青
X=-9.26, Y=6.18, Roll=4.0, Pitch=1.0, Yaw=266.0, State=APPROACH, Goal=True, Color=
X=-8.89, Y=6.96, Roll=3.5, Pitch=-1.3, Yaw=251.8, State=SEARCH, Goal=False, Color=
X=-9.28, Y=7.38, Roll=-1.7, Pitch=5.0, Yaw=139.7, State=APPROACH, Goal=True, Color=緑
X=-9.65, Y=6.38, Roll=-2.4, Pitch=2.4, Yaw=195.4, State=APPROACH, Goal=True, Color=青
X=-9.87, Y=5.58, Roll=4.3, Pitch=1.4, Yaw=306.2, State=APPROACH, Goal=True, Color=赤
X=-9.06, Y=5.09, Roll=-1.0, Pitch=4.4, Yaw=336.6, State=GOAL, Goal=False, Color=緑
X=-8.51, Y=5.66, Roll=3.2, Pitch=-3.8, Yaw=290.5, State=APPROACH, Goal=False, Color=青
X=-9.48, Y=5.65, Roll=0.7, Pitch=-4.3, Yaw=200.8, State=GOAL, Goal=True, Color=赤
X=-8.99, Y=5.87, Roll=3.6, Pitch=-4.9, Yaw=39.1, State=GOAL, Goal=False, Color=青
X=-9.65, Y=6.43, Roll=-0.6, Pitch=3.3, Yaw=160.9, State=APPROACH, Goal=True, Color=青
X=-9.46, Y=7.05, Roll=2.0, Pitch=-4.4, Yaw=314.4, State=GOAL, Goal=True, Color=
X=-9.12, Y=6.29, Roll=5.0, Pitch=-2.7, Yaw=335.4, State=GOAL, Goal=False, Color=
X=-8.28, Y=6.17, Roll=-2.9, Pitch=3.9, Yaw=295.1, State=GOAL, Goal=True, Color=緑
X=-7.40, Y=6.76, Roll=-4.6, Pitch=5.0, Yaw=261.4, State=APPROACH, Goal=False, Color=緑
X=-6.61, Y=6.31, Roll=0.5, Pitch=-0.2, Yaw=285.1, State=SEARCH, Goal=False, Color=緑
X=-6.16, Y=5.54, Roll=3.5, Pitch=-2.6, Yaw=261.2, State=APPROACH, Goal=True, Color=緑
X=-5.42, Y=5.29, Roll=-1.0, Pitch=-3.7, Yaw=308.7, State=GOAL, Goal=False, Color=青
X=-5.97, Y=5.23, Roll=4.7, Pitch=-3.2, Yaw=9.2, State=SEARCH, Goal=True, Color=青
X=-6.42, Y=4.90, Roll=-3.1, Pitch=-4.6, Yaw=268.2, State=APPROACH, Goal=True, Color=
X=-5.85, Y=4.66, Roll=-1.2, Pitch=1.1, Yaw=37.1, State=APPROACH, Goal=False, Color=
X=-6.07, Y=3.73, Roll=-0.8, Pitch=-3.8, Yaw=150.3, State=APPROACH, Goal=True, Color=赤
X=-5.83, Y=4.35, Roll=1.7, Pitch=0.9, Yaw=284.6, State=GOAL, Goal=False, Color=緑
X=-5.94, Y=4.31, Roll=2.9, Pitch=-2.0, Yaw=103.5, State=APPROACH, Goal=False, Color=
X=-6.67, Y=5.31, Roll=2.8, Pitch=-0.9, Yaw=87.3, State=APPROACH, Goal=False, Color=
X=-7.21, Y=4.35, Roll=-4.8, Pitch=-4.1, Yaw=247.6, State=APPROACH, Goal=True, Color=青
X=-7.96, Y=4.29, Roll=-2.9, Pitch=-0.6, Yaw=50.7, State=APPROACH, Goal=True, Color=
X=-8.73, Y=3.82, Roll=-0.4, Pitch=3.9, Yaw=15.6, State=APPROACH, Goal=False, Color=青
X=-9.43, Y=4.73, Roll=0.7, Pitch=-4.7, Yaw=224.3, State=GOAL, Goal=True, Color=緑
X=-9.93, Y=3.90, Roll=4.8, Pitch=-4.9, Yaw=19.6, State=GOAL, Goal=True, Color=赤
X=-10.08, Y=3.55, Roll=0.9, Pitch=1.0, Yaw=97.9, State=SEARCH, Goal=True, Color=青
X=-10.27, Y=3.73, Roll=2.6, Pitch=0.7, Yaw=158.5, State=GOAL, Goal=True, Color=赤
X=-10.73, Y=3.55, Roll=-0.7, Pitch=-3.6, Yaw=94.8, State=SEARCH, Goal=True, Color=緑
X=-10.96, Y=3.01, Roll=3.7, Pitch=3.8, Yaw=69.2, State=SEARCH, Goal=False, Color=緑
X=-11.03, Y=3.09, Roll=-3.4, Pitch=5.0, Yaw=325.2, State=APPROACH, Goal=True, Color=赤
X=-11.10, Y=3.74, Roll=-4.0, Pitch=3.1, Yaw=42.9, State=GOAL, Goal=False, Color=赤
X=-10.57, Y=2.88, Roll=0.5, Pitch=4.2, Yaw=135.2, State=APPROACH, Goal=False, Color=
X=-10.58, Y=2.30, Roll=2.8, Pitch=1.8, Yaw=359.4, State=GOAL, Goal=False, Color=青
X=-9.89, Y=1.55, Roll=4.4, Pitch=2.7, Yaw=240.8, State=GOAL, Goal=True, Color=
X=-9.35, Y=1.75, Roll=-1.7, Pitch=-3.1, Yaw=190.9, State=APPROACH, Goal=False, Color=赤
X=-9.75, Y=2.21, Roll=-4.2, Pitch=1.4, Yaw=200.5, State=APPROACH, Goal=False, Color=赤
X=-10.18, Y=1.81, Roll=-3.3, Pitch=2.5, Yaw=34.0, State=SEARCH, Goal=True, Color=緑
X=-9.52, Y=2.56, Roll=0.3, Pitch=-4.1, Yaw=310.3, State=GOAL, Goal=False, Color=青
X=-10.40, Y=1.58, Roll=-4.0, Pitch=0.1, Yaw=32.3, State=SEARCH, Goal=True, Color=
X=-10.12, Y=0.98, Roll=1.8, Pitch=0.5, Yaw=281.8, State=GOAL, Goal=False, Color=青
X=-9.56, Y=1.90, Roll=-0.3, Pitch=-1.9, Yaw=236.6, State=APPROACH, Goal=True, Color=青
X=-9.77, Y=1.71, Roll=4.5, Pitch=1.4, Yaw=247.9, State=GOAL, Goal=False, Color=
X=-8.97, Y=1.76, Roll=-4.4, Pitch=-1.5, Yaw=129.8, State=APPROACH, Goal=True, Color=
X=-8.92, Y=2.28, Roll=-1.7, Pitch=-2.9, Yaw=88.6, State=GOAL, Goal=False, Color=緑
X=-9.87, Y=2.46, Roll=-4.4, Pitch=1.0, Yaw=335.5, State=GOAL, Goal=True, Color=赤
X=-10.06, Y=2.95, Roll=1.2, Pitch=0.6, Yaw=73.5, State=GOAL, Goal=False, Color=青
X=-10.36, Y=2.11, Roll=3.2, Pitch=-5.0, Yaw=329.6, State=APPROACH, Goal=False, Color=赤
X=-10.46, Y=1.26, Roll=1.9, Pitch=1.6, Yaw=48.3, State=GOAL, Goal=True, Color=
X=-9.86, Y=0.53, Roll=0.8, Pitch=-0.6, Yaw=77.8, State=GOAL, Goal=True, Color=
X=-10.72, Y=1.39, Roll=4.3, Pitch=-1.5, Yaw=344.9, State=APPROACH, Goal=True, Color=青
X=-10.67, Y=1.17, Roll=4.2, Pitch=4.6, Yaw=218.4, State=GOAL, Goal=True, Color=青
X=-9.79, Y=0.50, Roll=-0.5, Pitch=-0.4, Yaw=210.1, State=APPROACH, Goal=False, Color=青
X=-10.53, Y=0.68, Roll=4.2, Pitch=-4.3, Yaw=17.9, State=GOAL, Goal=True, Color=青
X=-10.38, Y=1.06, Roll=-1.9, Pitch=0.3, Yaw=199.3, State=SEARCH, Goal=False, Color=青
X=-10.33, Y=2.01, Roll=4.1, Pitch=1.2, Yaw=204.2, State=SEARCH, Goal=True, Color=赤
X=-10.79, Y=2.95, Roll=1.6, Pitch=-3.3, Yaw=3.9, State=GOAL, Goal=True, Color=青
X=-11.40, Y=3.87, Roll=-4.5, Pitch=0.4, Yaw=320.8, State=APPROACH, Goal=True, Color=青
X=-10.65, Y=2.90, Roll=0.3, Pitch=3.1, Yaw=181.0, State=GOAL, Goal=True, Color=
X=-10.17, Y=3.10, Roll=2.0, Pitch=-1.5, Yaw=206.5, State=SEARCH, Goal=False, Color=緑
X=-11.03, Y=3.25, Roll=-3.9, Pitch=-3.4, Yaw=139.5, State=SEARCH, Goal=True, Color=青
X=-10.31, Y=3.34, Roll=-4.8, Pitch=-3.1, Yaw=342.1, State=APPROACH, Goal=True, Color=
X=-10.13, Y=2.44, Roll=1.9, Pitch=0.1, Yaw=260.0, State=GOAL, Goal=True, Color=青
X=-10.19, Y=3.03, Roll=0.7, Pitch=4.1, Yaw=249.1, State=SEARCH, Goal=False, Color=赤
X=-10.75, Y=2.98, Roll=1.2, Pitch=-3.6, Yaw=128.2, State=GOAL, Goal=True, Color=赤
X=-9.89, Y=2.16, Roll=-2.3, Pitch=-1.0, Yaw=233.1, State=GOAL, Goal=False, Color=緑
X=-10.67, Y=2.02, Roll=2.9, Pitch=-4.0, Yaw=43.7, State=SEARCH, Goal=True, Color=
X=-11.19, Y=2.76, Roll=-1.9, Pitch=3.2, Yaw=128.5, State=SEARCH, Goal=True, Color=緑
X=-12.14, Y=3.35, Roll=-1.7, Pitch=-1.3, Yaw=167.8, State=APPROACH, Goal=False, Color=青
X=-12.91, Y=4.30, Roll=4.6, Pitch=-0.1, Yaw=64.7, State=SEARCH, Goal=True, Color=緑
X=-13.22, Y=4.03, Roll=-0.1, Pitch=-5.0, Yaw=99.5, State=APPROACH, Goal=False, Color=青
X=-14.07, Y=4.90, Roll=3.3, Pitch=-4.9, Yaw=317.3, State=APPROACH, Goal=False, Color=赤
X=-13.40, Y=5.12, Roll=2.9, Pitch=1.8, Yaw=51.0, State=APPROACH, Goal=False, Color=赤
X=-13.42, Y=4.66, Roll=-1.7, Pitch=3.6, Yaw=95.3, State=APPROACH, Goal=True, Color=
X=-12.67, Y=4.26, Roll=-2.0, Pitch=-2.6, Yaw=106.0, State=APPROACH, Goal=False, Color=赤
X=-13.33, Y=3.84, Roll=-4.2, Pitch=1.1, Yaw=48.5, State=SEARCH, Goal=False, Color=青
X=-13.48, Y=4.00, Roll=-0.9, Pitch=-0.8, Yaw=172.2, State=GOAL, Goal=True, Color=赤
X=-13.95, Y=4.94, Roll=-4.9, Pitch=-1.2, Yaw=20.1, State=SEARCH, Goal=False, Color=
X=-13.55, Y=4.48, Roll=-2.3, Pitch=-0.5, Yaw=112.6, State=GOAL, Goal=True, Color=緑
X=-14.51, Y=5.06, Roll=-0.5, Pitch=-1.9, Yaw=17.5, State=GOAL, Goal=True, Color=
X=-14.20, Y=5.45, Roll=3.8, Pitch=-0.7, Yaw=113.0, State=GOAL, Goal=False, Color=青
X=-13.61, Y=5.48, Roll=2.7, Pitch=-3.6, Yaw=203.9, State=APPROACH, Goal=True, Color=青
X=-13.47, Y=5.15, Roll=-1.2, Pitch=-2.6, Yaw=271.4, State=APPROACH, Goal=True, Color=
X=-13.19, Y=4.45, Roll=3.0, Pitch=3.4, Yaw=101.5, State=APPROACH, Goal=True, Color=
X=-13.34, Y=5.00, Roll=0.9, Pitch=4.9, Yaw=170.1, State=GOAL, Goal=False, Color=青
X=-12.91, Y=4.06, Roll=4.6, Pitch=1.8, Yaw=288.6, State=GOAL, Goal=False, Color=赤
X=-12.60, Y=4.96, Roll=-1.4, Pitch=-2.7, Yaw=19.5, State=APPROACH, Goal=False, Color=青
X=-12.02, Y=4.72, Roll=-4.6, Pitch=1.4, Yaw=132.8, State=APPROACH, Goal=False, Color=緑
X=-12.18, Y=5.48, Roll=2.1, Pitch=-1.2, Yaw=184.7, State=SEARCH, Goal=False, Color=青
X=-11.80, Y=4.72, Roll=4.2, Pitch=-2.1, Yaw=273.6, State=GOAL, Goal=False, Color=
X=-11.77, Y=3.88, Roll=-3.7, Pitch=0.1, Yaw=213.0, State=GOAL, Goal=False, Color=青
X=-10.96, Y=4.03, Roll=4.0, Pitch=-1.1, Yaw=225.1, State=APPROACH, Goal=False, Color=
X=-10.62, Y=3.63, Roll=1.7, Pitch=2.8, Yaw=12.9, State=GOAL, Goal=False, Color=青
X=-10.03, Y=3.74, Roll=0.0, Pitch=4.5, Yaw=203.7, State=APPROACH, Goal=True, Color=
X=-10.16, Y=4.13, Roll=4.2, Pitch=-0.4, Yaw=148.0, State=SEARCH, Goal=True, Color=緑
X=-9.87, Y=5.08, Roll=-3.3, Pitch=-2.7, Yaw=204.8, State=GOAL, Goal=True, Color=青
X=-10.55, Y=4.92, Roll=3.5, Pitch=-2.3, Yaw=164.1, State=GOAL, Goal=True, Color=青
X=-10.84, Y=5.07, Roll=2.3, Pitch=3.1, Yaw=8.1, State=SEARCH, Goal=False, Color=赤
X=-10.08, Y=5.26, Roll=-1.4, Pitch=3.5, Yaw=158.4, State=SEARCH, Goal=True, Color=青
X=-11.05, Y=5.42, Roll=-3.4, Pitch=3.3, Yaw=40.4, State=SEARCH, Goal=False, Color=緑
X=-11.11, Y=6.12, Roll=3.2, Pitch=-0.6, Yaw=331.4, State=GOAL, Goal=True, Color=青
X=-10.68, Y=5.12, Roll=-4.2, Pitch=0.1, Yaw=70.3, State=APPROACH, Goal=True, Color=青
X=-10.17, Y=5.99, Roll=4.9, Pitch=1.9, Yaw=353.6, State=SEARCH, Goal=False, Color=赤
X=-10.76, Y=5.85, Roll=-1.7, Pitch=1.1, Yaw=204.6, State=SEARCH, Goal=True, Color=青
X=-10.68, Y=4.90, Roll=-4.2, Pitch=-2.8, Yaw=182.7, State=APPROACH, Goal=False, Color=
X=-11.43, Y=4.74, Roll=4.1, Pitch=-3.9, Yaw=163.1, State=SEARCH, Goal=False, Color=赤
X=-11.38, Y=4.30, Roll=2.0, Pitch=-2.8, Yaw=173.3, State=GOAL, Goal=False, Color=赤
X=-11.99, Y=5.11, Roll=-2.4, Pitch=-3.5, Yaw=151.1, State=APPROACH, Goal=True, Color=緑
X=-12.28, Y=5.42, Roll=-2.0, Pitch=0.9, Yaw=70.0, State=SEARCH, Goal=True, Color=青
X=-11.46, Y=5.85, Roll=-4.5, Pitch=-2.1, Yaw=191.9, State=SEARCH, Goal=False, Color=
X=-11.42, Y=5.25, Roll=-0.7, Pitch=3.4, Yaw=65.0, State=APPROACH, Goal=False, Color=青
X=-11.73, Y=5.53, Roll=2.3, Pitch=2.5, Yaw=30.0, State=GOAL, Goal=False, Color=緑
X=-11.80, Y=5.42, Roll=2.2, Pitch=4.4, Yaw=264.1, State=APPROACH, Goal=True, Color=
X=-11.70, Y=4.50, Roll=4.5, Pitch=1.6, Yaw=255.9, State=GOAL, Goal=False, Color=青
X=-12.20, Y=3.52, Roll=-3.6, Pitch=-3.5, Yaw=278.7, State=SEARCH, Goal=False, Color=
X=-12.46, Y=3.59, Roll=-3.2, Pitch=-4.3, Yaw=180.0, State=SEARCH, Goal=True, Color=緑
X=-12.67, Y=3.85, Roll=3.7, Pitch=0.2, Yaw=171.9, State=GOAL, Goal=True, Color=緑
X=-13.56, Y=4.25, Roll=1.4, Pitch=4.6, Yaw=98.4, State=APPROACH, Goal=False, Color=
X=-14.20, Y=5.16, Roll=-3.4, Pitch=-4.5, Yaw=146.8, State=APPROACH, Goal=True, Color=緑
X=-14.70, Y=5.58, Roll=2.2, Pitch=0.6, Yaw=74.1, State=GOAL, Goal=False, Color=青
X=-15.61, Y=4.75, Roll=1.0, Pitch=-4.3, Yaw=126.8, State=SEARCH, Goal=False, Color=青
X=-15.47, Y=5.11, Roll=2.2, Pitch=2.4, Yaw=183.5, State=SEARCH, Goal=False, Color=
X=-14.77, Y=5.12, Roll=0.6, Pitch=-4.0, Yaw=67.5, State=SEARCH, Goal=False, Color=緑
X=-14.47, Y=4.25, Roll=4.0, Pitch=-0.9, Yaw=9.3, State=SEARCH, Goal=False, Color=
X=-14.63, Y=4.88, Roll=1.7, Pitch=0.3, Yaw=59.0, State=GOAL, Goal=True, Color=青
X=-14.77, Y=4.46, Roll=-1.5, Pitch=4.3, Yaw=13.3, State=GOAL, Goal=True, Color=青
X=-14.18, Y=4.81, Roll=-1.1, Pitch=0.5, Yaw=1.3, State=SEARCH, Goal=False, Color=緑
X=-13.48, Y=5.00, Roll=3.3, Pitch=2.2, Yaw=260.4, State=APPROACH, Goal=False, Color=緑
X=-14.10, Y=5.53, Roll=3.2, Pitch=-2.6, Yaw=224.4, State=APPROACH, Goal=False, Color=青
X=-14.17, Y=5.47, Roll=-4.0, Pitch=3.4, Yaw=27.6, State=GOAL, Goal=True, Color=
X=-13.78, Y=6.36, Roll=3.6, Pitch=2.6, Yaw=333.2, State=GOAL, Goal=True, Color=赤
X=-14.37, Y=6.67, Roll=3.9, Pitch=2.3, Yaw=359.5, State=SEARCH, Goal=False, Color=緑
X=-13.42, Y=6.96, Roll=-0.1, Pitch=1.8, Yaw=199.1, State=APPROACH, Goal=True, Color=緑
X=-13.70, Y=6.58, Roll=3.9, Pitch=-1.4, Yaw=10.4, State=APPROACH, Goal=False, Color=緑
X=-13.81, Y=6.61, Roll=4.0, Pitch=0.3, Yaw=160.4, State=SEARCH, Goal=True, Color=赤
X=-13.46, Y=7.53, Roll=-3.8, Pitch=-1.1, Yaw=274.5, State=APPROACH, Goal=True, Color=
X=-12.94, Y=8.02, Roll=4.3, Pitch=-3.1, Yaw=217.8, State=APPROACH, Goal=False, Color=緑
X=-13.65, Y=7.39, Roll=-2.5, Pitch=1.5, Yaw=125.2, State=APPROACH, Goal=True, Color=青
X=-14.17, Y=7.55, Roll=4.1, Pitch=-0.2, Yaw=311.5, State=APPROACH, Goal=True, Color=緑
X=-14.11, Y=6.63, Roll=-3.8, Pitch=4.9, Yaw=174.3, State=SEARCH, Goal=True, Color=赤
X=-14.73, Y=7.63, Roll=-0.4, Pitch=-4.1, Yaw=260.7, State=APPROACH, Goal=False, Color=赤
