X=-0.78, Y=-0.39, Roll=1.0, Pitch=-2.0, Yaw=36.8, State=SEARCH, Goal=True, Color=
X=-2.05, Y=3.58, Roll=2.0, Pitch=2.6, Yaw=330.1, State=APPROACH, Goal=False, Color=緑
X=-1.58, Y=3.73, Roll=-2.0, Pitch=-0.9, Yaw=238.1, State=SEARCH, Goal=False, Color=緑
X=-0.62, Y=3.09, Roll=-0.9, Pitch=4.5, Yaw=345.0, State=APPROACH, Goal=True, Color=青
X=-0.64, Y=2.34, Roll=3.3, Pitch=3.6, Yaw=132.2, State=SEARCH, Goal=True, Color=緑
X=-0.79, Y=2.64, Roll=0.3, Pitch=-1.9, Yaw=214.9, State=GOAL, Goal=False, Color=緑
X=-1.78, Y=3.10, Roll=-4.5, Pitch=3.6, Yaw=123.7, State=APPROACH, Goal=True, Color=青
X=-2.63, Y=2.68, Roll=3.3, Pitch=-1.1, Yaw=185.3, State=SEARCH, Goal=True, Color=青
X=-1.64, Y=2.56, Roll=3.1, Pitch=-3.2, Yaw=91.8, State=SEARCH, Goal=True, Color=赤
X=-0.81, Y=2.37, Roll=-4.1, Pitch=1.3, Yaw=219.8, State=SEARCH, Goal=False, Color=緑
X=-1.52, Y=2.99, Roll=-3.6, Pitch=-0.6, Yaw=104.5, State=GOAL, Goal=True, Color=青
X=-2.12, Y=3.94, Roll=3.2, Pitch=-2.2, Yaw=46.1, State=APPROACH, Goal=True, Color=
X=-1.16, Y=4.24, Roll=-1.1, Pitch=-2.8, Yaw=195.6, State=SEARCH, Goal=False, Color=青
X=-1.09, Y=4.92, Roll=-2.8, Pitch=-4.9, Yaw=348.4, State=GOAL, Goal=True, Color=緑
X=-0.34, Y=5.56, Roll=-1.3, Pitch=1.8, Yaw=263.9, State=GOAL, Goal=False, Color=
X=0.55, Y=4.96, Roll=-1.0, Pitch=4.0, Yaw=151.7, State=GOAL, Goal=False, Color=青
X=-0.34, Y=5.67, Roll=1.9, Pitch=-0.1, Yaw=247.0, State=GOAL, Goal=False, Color=緑
X=-0.71, Y=6.58, Roll=-2.5, Pitch=0.6, Yaw=337.1, State=SEARCH, Goal=False, Color=緑
X=-0.76, Y=5.63, Roll=-2.7, Pitch=-4.0, Yaw=75.4, State=GOAL, Goal=True, Color=緑
X=-0.85, Y=5.32, Roll=2.0, Pitch=3.8, Yaw=22.9, State=APPROACH, Goal=False, Color=青
X=-0.87, Y=4.48, Roll=-3.6, Pitch=-3.0, Yaw=337.9, State=GOAL, Goal=False, Color=青
X=0.09, Y=-0.09, Roll=-4.0, Pitch=-4.4, Yaw=320.7, State=SEARCH, Goal=True, Color=赤
X=-0.58, Y=0.42, Roll=1.4, Pitch=-2.7, Yaw=7.5, State=APPROACH, Goal=False, Color=赤
X=-0.93, Y=-0.53, Roll=0.8, Pitch=2.0, Yaw=240.9, State=GOAL, Goal=False, Color=青
X=-0.86, Y=-0.66, Roll=1.4, Pitch=-1.7, Yaw=187.9, State=APPROACH, Goal=True, Color=緑
X=0.13, Y=-0.52, Roll=4.0, Pitch=-1.5, Yaw=151.2, State=GOAL, Goal=True, Color=赤
X=0.12, Y=0.38, Roll=-4.5, Pitch=0.5, Yaw=335.8, State=SEARCH, Goal=False, Color=青
X=0.13, Y=-0.17, Roll=-1.5, Pitch=-1.2, Yaw=60.2, State=GOAL, Goal=False, Color=緑
X=0.05, Y=-0.19, Roll=-2.2, Pitch=4.9, Yaw=258.3, State=APPROACH, Goal=True, Color=赤
X=-0.89, Y=0.01, Roll=-2.8, Pitch=-0.2, Yaw=335.3, State=GOAL, Goal=True, Color=
X=-0.47, Y=-0.81, Roll=0.6, Pitch=2.9, Yaw=275.6, State=GOAL, Goal=False, Color=赤
X=0.45, Y=-0.50, Roll=-4.3, Pitch=-0.7, Yaw=280.3, State=GOAL, Goal=True, Color=青
X=-0.38, Y=-0.70, Roll=-4.6, Pitch=-2.7, Yaw=5.6, State=APPROACH, Goal=False, Color=
X=-0.94, Y=-0.67, Roll=3.6, Pitch=4.5, Yaw=116.7, State=GOAL, Goal=True, Color=
X=-1.34, Y=-0.48, Roll=4.3, Pitch=3.9, Yaw=335.5, State=APPROACH, Goal=True, Color=青
X=-0.99, Y=-1.10, Roll=2.6, Pitch=3.4, Yaw=8.3, State=GOAL, Goal=True, Color=緑
X=-1.30, Y=-1.61, Roll=4.0, Pitch=-0.1, Yaw=189.5, State=SEARCH, Goal=True, Color=緑
X=-1.56, Y=-2.00, Roll=-2.2, Pitch=-2.2, Yaw=91.3, State=GOAL, Goal=False, Color=緑
X=-0.84, Y=-1.61, Roll=-4.2, Pitch=0.7, Yaw=295.6, State=APPROACH, Goal=False, Color=緑
X=-1.69, Y=-1.75, Roll=0.6, Pitch=-0.0, Yaw=116.4, State=APPROACH, Goal=True, Color=
X=-0.93, Y=-2.52, Roll=3.3, Pitch=-1.1, Yaw=223.6, State=APPROACH, Goal=False, Color=
X=-1.82, Y=-3.26, Roll=1.9, Pitch=1.1, Yaw=348.4, State=APPROACH, Goal=True, Color=緑
X=-2.22, Y=-3.27, Roll=-2.0, Pitch=5.0, Yaw=39.1, State=SEARCH, Goal=True, Color=緑
X=-1.22, Y=-3.48, Roll=3.9, Pitch=2.4, Yaw=157.7, State=APPROACH, Goal=True, Color=
X=-1.93, Y=-3.12, Roll=-3.4, Pitch=-3.4, Yaw=214.5, State=APPROACH, Goal=True, Color=緑
X=-1.83, Y=-3.94, Roll=0.1, Pitch=-2.3, Yaw=216.2, State=APPROACH, Goal=True, Color=緑
X=-1.29, Y=-3.24, Roll=-4.8, Pitch=-3.6, Yaw=297.0, State=APPROACH, Goal=False, Color=青
X=-1.64, Y=-3.37, Roll=-0.5, Pitch=-3.7, Yaw=111.2, State=APPROACH, Goal=True, Color=赤
X=-2.28, Y=-2.57, Roll=2.9, Pitch=-2.2, Yaw=53.9, State=GOAL, Goal=False, Color=緑
X=-3.06, Y=-3.46, Roll=-2.0, Pitch=2.5, Yaw=353.2, State=GOAL, Goal=True, Color=青
X=-3.85, Y=-2.99, Roll=-0.4, Pitch=2.8, Yaw=223.6, State=GOAL, Goal=True, Color=青
X=-4.05, Y=-3.76, Roll=1.1, Pitch=4.5, Yaw=232.8, State=APPROACH, Goal=False, Color=青
X=-4.38, Y=-3.78, Roll=0.2, Pitch=-4.7, Yaw=223.6, State=APPROACH, Goal=True, Color=
X=-4.30, Y=-3.72, Roll=4.4, Pitch=-0.7, Yaw=283.1, State=APPROACH, Goal=True, Color=緑
X=-4.15, Y=-3.65, Roll=-4.5, Pitch=1.0, Yaw=164.4, State=APPROACH, Goal=True, Color=
X=-3.30, Y=-4.31, Roll=1.6, Pitch=-1.4, Yaw=181.9, State=APPROACH, Goal=False, Color=青
X=-3.36, Y=-4.33, Roll=-2.0, Pitch=2.2, Yaw=335.6, State=SEARCH, Goal=False, Color=青
X=-4.32, Y=-5.13, Roll=2.4, Pitch=0.5, Yaw=323.7, State=SEARCH, Goal=True, Color=
X=-3.92, Y=-5.67, Roll=3.9, Pitch=1.2, Yaw=208.9, State=SEARCH, Goal=True, Color=青
X=-4.36, Y=-6.17, Roll=3.4, Pitch=2.2, Yaw=358.2, State=SEARCH, Goal=False, Color=
X=-4.84, Y=-6.54, Roll=-3.0, Pitch=1.0, Yaw=164.5, State=GOAL, Goal=False, Color=青
X=-4.11, Y=-5.83, Roll=2.4, Pitch=-4.5, Yaw=214.9, State=SEARCH, Goal=False, Color=緑
X=-4.88, Y=-5.77, Roll=-3.6, Pitch=4.8, Yaw=100.1, State=APPROACH, Goal=False, Color=
X=-5.07, Y=-5.50, Roll=3.0, Pitch=4.8, Yaw=199.5, State=GOAL, Goal=False, Color=赤
X=-5.80, Y=-4.56, Roll=0.6, Pitch=-1.5, Yaw=245.4, State=SEARCH, Goal=False, Color=緑
X=-5.20, Y=-4.38, Roll=-2.9, Pitch=-3.0, Yaw=176.5, State=SEARCH, Goal=True, Color=緑
X=-4.46, Y=-3.69, Roll=-3.8, Pitch=1.8, Yaw=242.0, State=GOAL, Goal=False, Color=
X=-4.46, Y=-4.27, Roll=0.1, Pitch=4.5, Yaw=46.5, State=SEARCH, Goal=False, Color=赤
X=-3.93, Y=-4.16, Roll=4.6, Pitch=2.9, Yaw=318.0, State=GOAL, Goal=False, Color=青
X=-4.17, Y=-5.06, Roll=-0.5, Pitch=0.1, Yaw=37.3, State=SEARCH, Goal=False, Color=赤
X=-4.88, Y=-4.58, Roll=0.3, Pitch=2.7, Yaw=243.1, State=GOAL, Goal=True, Color=緑
X=-4.98, Y=-3.60, Roll=0.9, Pitch=-1.3, Yaw=282.1, State=GOAL, Goal=False, Color=緑
X=-4.01, Y=-2.85, Roll=-5.0, Pitch=2.7, Yaw=111.0, State=APPROACH, Goal=True, Color=
X=-4.43, Y=-2.14, Roll=-1.0, Pitch=3.0, Yaw=96.0, State=APPROACH, Goal=True, Color=
X=-4.14, Y=-1.42, Roll=4.3, Pitch=1.7, Yaw=337.7, State=APPROACH, Goal=True, Color=緑
X=-4.79, Y=-1.75, Roll=-1.2, Pitch=0.7, Yaw=22.3, State=APPROACH, Goal=False, Color=
X=-4.68, Y=-1.03, Roll=2.4, Pitch=-0.3, Yaw=248.3, State=GOAL, Goal=False, Color=
X=-4.64, Y=-1.49, Roll=2.9, Pitch=2.5, Yaw=105.5, State=SEARCH, Goal=True, Color=青
X=-3.93, Y=-1.06, Roll=2.9, Pitch=-1.3, Yaw=344.0, State=GOAL, Goal=False, Color=緑
X=-4.13, Y=-1.17, Roll=2.4, Pitch=-4.8, Yaw=166.5, State=APPROACH, Goal=False, Color=
X=-3.36, Y=-1.69, Roll=-0.5, Pitch=3.4, Yaw=116.5, State=GOAL, Goal=True, Color=緑
X=-4.21, Y=-1.00, Roll=2.9, Pitch=1.1, Yaw=73.8, State=GOAL, Goal=False, Color=緑
X=-5.00, Y=-0.23, Roll=-2.0, Pitch=1.6, Yaw=332.4, State=APPROACH, Goal=False, Color=青
X=-4.29, Y=0.75, Roll=3.7, Pitch=0.5, Yaw=147.5, State=GOAL, Goal=False, Color=緑
X=-3.66, Y=0.19, Roll=3.0, Pitch=-1.2, Yaw=70.1, State=APPROACH, Goal=False, Color=緑
X=-3.24, Y=0.61, Roll=2.4, Pitch=-0.4, Yaw=283.7, State=SEARCH, Goal=False, Color=赤
X=-3.02, Y=1.32, Roll=4.8, Pitch=-5.0, Yaw=61.0, State=APPROACH, Goal=False, Color=赤
X=-3.80, Y=0.62, Roll=1.2, Pitch=3.8, Yaw=346.8, State=GOAL, Goal=True, Color=赤
X=-3.41, Y=1.47, Roll=-0.7, Pitch=4.5, Yaw=259.7, State=APPROACH, Goal=False, Color=青
X=-3.89, Y=1.58, Roll=2.8, Pitch=-3.6, Yaw=354.5, State=APPROACH, Goal=True, Color=
X=-3.23, Y=1.97, Roll=4.5, Pitch=2.5, Yaw=182.1, State=GOAL, Goal=False, Color=
X=-3.46, Y=2.71, Roll=1.1, Pitch=4.8, Yaw=91.0, State=GOAL, Goal=False, Color=緑
X=-4.13, Y=3.62, Roll=-2.3, Pitch=-1.4, Yaw=84.2, State=SEARCH, Goal=False, Color=
X=-4.75, Y=2.76, Roll=2.4, Pitch=-4.0, Yaw=230.4, State=GOAL, Goal=True, Color=青
X=-5.10, Y=2.32, Roll=0.8, Pitch=-2.0, Yaw=293.8, State=GOAL, Goal=True, Color=赤
X=-4.56, Y=1.94, Roll=-4.1, Pitch=2.5, Yaw=293.8, State=GOAL, Goal=False, Color=赤
X=-4.96, Y=1.91, Roll=0.1, Pitch=0.4, Yaw=265.4, State=SEARCH, Goal=False, Color=赤
X=-4.70, Y=1.92, Roll=2.8, Pitch=0.1, Yaw=58.1, State=APPROACH, Goal=True, Color=青
X=-4.37, Y=2.02, Roll=-2.5, Pitch=2.3, Yaw=211.5, State=APPROACH, Goal=False, Color=
X=-4.00, Y=2.37, Roll=3.4, Pitch=4.6, Yaw=247.1, State=APPROACH, Goal=False, Color=
X=-3.29, Y=2.40, Roll=0.7, Pitch=2.1, Yaw=208.7, State=SEARCH, Goal=False, Color=
X=-3.25, Y=3.16, Roll=-4.4, Pitch=-2.2, Yaw=22.3, State=SEARCH, Goal=True, Color=赤
X=-3.69, Y=2.64, Roll=0.8, Pitch=-2.5, Yaw=14.9, State=GOAL, Goal=True, Color=青
X=-3.69, Y=2.85, Roll=-4.3, Pitch=4.1, Yaw=71.5, State=SEARCH, Goal=False, Color=緑
X=-3.68, Y=2.82, Roll=0.8, Pitch=1.1, Yaw=279.1, State=SEARCH, Goal=False, Color=緑
X=-2.91, Y=2.73, Roll=-2.7, Pitch=4.2, Yaw=123.7, State=SEARCH, Goal=True, Color=赤
X=-3.00, Y=3.51, Roll=0.4, Pitch=-4.4, Yaw=38.9, State=SEARCH, Goal=False, Color=
X=-2.33, Y=3.73, Roll=-2.1, Pitch=2.5, Yaw=139.7, State=APPROACH, Goal=False, Color=赤
X=-2.09, Y=4.53, Roll=3.7, Pitch=-0.4, Yaw=147.0, State=APPROACH, Goal=True, Color=緑
X=-2.74, Y=4.12, Roll=-4.9, Pitch=-0.4, Yaw=284.8, State=SEARCH, Goal=True, Color=
X=-3.45, Y=4.75, Roll=-0.7, Pitch=3.5, Yaw=12.3, State=GOAL, Goal=False, Color=緑
X=-4.28, Y=5.67, Roll=-4.4, Pitch=-2.7, Yaw=59.0, State=GOAL, Goal=False, Color=
X=-4.72, Y=4.67, Roll=-4.2, Pitch=2.0, Yaw=226.4, State=GOAL, Goal=True, Color=緑
X=-3.99, Y=3.75, Roll=-1.5, Pitch=-0.1, Yaw=124.5, State=SEARCH, Goal=False, Color=緑
X=-4.81, Y=2.84, Roll=4.0, Pitch=-3.5, Yaw=246.8, State=APPROACH, Goal=False, Color=赤
X=-4.61, Y=1.86, Roll=3.4, Pitch=-1.8, Yaw=47.2, State=APPROACH, Goal=False, Color=
X=-3.73, Y=2.74, Roll=0.9, Pitch=-4.7, Yaw=238.2, State=GOAL, Goal=False, Color=
X=-3.71, Y=2.88, Roll=1.6, Pitch=-2.3, Yaw=195.9, State=GOAL, Goal=False, Color=
X=-3.18, Y=3.41, Roll=-2.7, Pitch=-4.7, Yaw=63.0, State=APPROACH, Goal=True, Color=赤
X=-3.82, Y=4.20, Roll=2.3, Pitch=3.7, Yaw=338.5, State=GOAL, Goal=True, Color=
X=-3.16, Y=3.46, Roll=-2.6, Pitch=2.4, Yaw=316.2, State=SEARCH, Goal=False, Color=青
X=-2.18, Y=2.67, Roll=4.4, Pitch=0.4, Yaw=14.0, State=SEARCH, Goal=True, Color=赤
X=-2.11, Y=2.46, Roll=1.7, Pitch=-3.8, Yaw=269.6, State=APPROACH, Goal=True, Color=赤
X=-2.10, Y=2.58, Roll=-1.5, Pitch=-3.0, Yaw=122.3, State=GOAL, Goal=False, Color=赤
X=-2.74, Y=2.78, Roll=1.1, Pitch=-4.8, Yaw=300.1, State=GOAL, Goal=False, Color=青
X=-2.99, Y=2.69, Roll=-2.0, Pitch=-0.7, Yaw=321.3, State=GOAL, Goal=False, Color=青
X=-3.74, Y=3.17, Roll=-0.4, Pitch=4.5, Yaw=25.2, State=SEARCH, Goal=True, Color=
X=-3.77, Y=3.31, Roll=-1.3, Pitch=-3.3, Yaw=343.2, State=APPROACH, Goal=True, Color=青
X=-4.48, Y=4.04, Roll=-3.0, Pitch=3.5, Yaw=118.6, State=GOAL, Goal=False, Color=赤
X=-4.01, Y=3.27, Roll=-2.2, Pitch=1.4, Yaw=354.0, State=SEARCH, Goal=False, Color=
X=-4.32, Y=4.05, Roll=-2.0, Pitch=-2.9, Yaw=12.5, State=APPROACH, Goal=True, Color=
X=-3.38, Y=3.93, Roll=3.4, Pitch=-4.3, Yaw=89.2, State=GOAL, Goal=True, Color=緑
X=-2.42, Y=4.48, Roll=-1.6, Pitch=-3.1, Yaw=258.5, State=GOAL, Goal=True, Color=緑
X=-3.34, Y=4.04, Roll=1.1, Pitch=-4.3, Yaw=103.3, State=APPROACH, Goal=False, Color=
X=-3.03, Y=3.10, Roll=1.8, Pitch=4.6, Yaw=345.3, State=SEARCH, Goal=False, Color=赤
X=-3.66, Y=2.49, Roll=1.8, Pitch=-4.6, Yaw=110.5, State=SEARCH, Goal=True, Color=青
X=-4.01, Y=2.34, Roll=1.4, Pitch=0.7, Yaw=115.4, State=GOAL, Goal=True, Color=青
X=-4.17, Y=1.99, Roll=-4.1, Pitch=2.9, Yaw=347.7, State=GOAL, Goal=False, Color=緑
X=-3.52, Y=1.36, Roll=0.7, Pitch=-2.1, Yaw=214.3, State=GOAL, Goal=True, Color=青
X=-2.92, Y=2.25, Roll=0.4, Pitch=-2.5, Yaw=105.9, State=GOAL, Goal=True, Color=青
X=-3.27, Y=1.40, Roll=0.3, Pitch=-1.2, Yaw=191.2, State=APPROACH, Goal=True, Color=赤
X=-3.27, Y=1.41, Roll=-4.0, Pitch=-0.0, Yaw=347.4, State=GOAL, Goal=True, Color=
X=-2.30, Y=2.03, Roll=4.4, Pitch=-2.3, Yaw=307.3, State=SEARCH, Goal=False, Color=
X=-2.57, Y=1.45, Roll=-0.5, Pitch=-3.4, Yaw=249.9, State=SEARCH, Goal=False, Color=
X=-3.54, Y=1.70, Roll=1.4, Pitch=-3.0, Yaw=229.2, State=SEARCH, Goal=False, Color=
X=-4.34, Y=1.99, Roll=-0.2, Pitch=2.7, Yaw=277.9, State=GOAL, Goal=False, Color=赤
X=-3.35, Y=1.85, Roll=3.1, Pitch=-0.2, Yaw=128.3, State=SEARCH, Goal=False, Color=緑
X=-3.63, Y=2.73, Roll=2.6, Pitch=0.8, Yaw=254.5, State=APPROACH, Goal=True, Color=
X=-2.67, Y=2.39, Roll=-4.0, Pitch=-4.8, Yaw=65.8, State=GOAL, Goal=False, Color=赤
X=-3.03, Y=1.81, Roll=-0.3, Pitch=-4.9, Yaw=204.3, State=SEARCH, Goal=False, Color=青
X=-2.26, Y=1.63, Roll=2.6, Pitch=-2.7, Yaw=224.1, State=SEARCH, Goal=True, Color=緑
X=-1.71, Y=2.35, Roll=-3.0, Pitch=2.5, Yaw=277.9, State=SEARCH, Goal=False, Color=緑
X=-1.09, Y=1.57, Roll=-3.4, Pitch=0.7, Yaw=139.7, State=APPROACH, Goal=False, Color=青
X=-1.21, Y=1.89, Roll=3.3, Pitch=5.0, Yaw=42.0, State=SEARCH, Goal=True, Color=青
X=-0.26, Y=2.59, Roll=4.3, Pitch=4.7, Yaw=313.1, State=SEARCH, Goal=True, Color=赤
X=-1.01, Y=3.26, Roll=-2.2, Pitch=-1.3, Yaw=98.5, State=APPROACH, Goal=True, Color=青
X=-0.68, Y=2.90, Roll=-3.3, Pitch=2.2, Yaw=142.5, State=APPROACH, Goal=False, Color=青
X=-1.25, Y=3.82, Roll=4.4, Pitch=3.3, Yaw=336.6, State=APPROACH, Goal=True, Color=赤
X=-1.26, Y=3.67, Roll=3.2, Pitch=-3.4, Yaw=129.7, State=SEARCH, Goal=True, Color=緑
X=-0.76, Y=3.38, Roll=-1.1, Pitch=-3.2, Yaw=139.5, State=SEARCH, Goal=False, Color=緑
X=-0.39, Y=4.10, Roll=-4.8, Pitch=1.7, Yaw=347.2, State=GOAL, Goal=True, Color=緑
X=0.52, Y=3.61, Roll=-1.7, Pitch=2.7, Yaw=258.8, State=APPROACH, Goal=False, Color=赤
X=0.40, Y=3.64, Roll=-4.7, Pitch=2.6, Yaw=28.2, State=APPROACH, Goal=False, Color=緑
X=-0.11, Y=4.12, Roll=0.6, Pitch=-1.7, Yaw=321.9, State=APPROACH, Goal=True, Color=赤
X=-0.85, Y=3.51, Roll=-0.5, Pitch=3.9, Yaw=12.8, State=SEARCH, Goal=True, Color=青
X=-0.70, Y=3.27, Roll=-3.5, Pitch=-3.9, Yaw=112.4, State=APPROACH, Goal=True, Color=青
X=-0.10, Y=3.45, Roll=-0.3, Pitch=-3.0, Yaw=54.5, State=APPROACH, Goal=True, Color=
X=-1.08, Y=2.69, Roll=3.4, Pitch=0.1, Yaw=101.6, State=SEARCH, Goal=False, Color=赤
X=-1.08, Y=2.04, Roll=2.7, Pitch=-4.8, Yaw=42.2, State=SEARCH, Goal=False, Color=青
X=-1.25, Y=2.17, Roll=1.1, Pitch=4.7, Yaw=188.9, State=APPROACH, Goal=False, Color=緑
X=-1.41, Y=2.36, Roll=1.0, Pitch=-3.0, Yaw=339.9, State=GOAL, Goal=False, Color=緑
X=-1.71, Y=3.33, Roll=3.7, Pitch=-3.1, Yaw=140.6, State=GOAL, Goal=False, Color=
X=-2.06, Y=3.52, Roll=-4.4, Pitch=1.6, Yaw=147.5, State=APPROACH, Goal=False, Color=青
X=-1.64, Y=2.62, Roll=1.0, Pitch=0.0, Yaw=289.4, State=GOAL, Goal=False, Color=青
X=-1.39, Y=3.02, Roll=-0.9, Pitch=-2.3, Yaw=354.8, State=SEARCH, Goal=False, Color=
X=-1.17, Y=3.88, Roll=0.3, Pitch=-2.7, Yaw=285.4, State=SEARCH, Goal=True, Color=緑
X=-2.04, Y=4.39, Roll=-0.9, Pitch=3.6, Yaw=294.6, State=SEARCH, Goal=False, Color=青
X=-1.91, Y=5.00, Roll=-1.7, Pitch=-2.0, Yaw=109.9, State=APPROACH, Goal=True, Color=青
X=-2.77, Y=4.94, Roll=1.9, Pitch=4.0, Yaw=69.3, State=GOAL, Goal=True, Color=赤
X=-1.80, Y=5.38, Roll=-1.0, Pitch=-3.7, Yaw=213.7, State=APPROACH, Goal=False, Color=赤
X=-1.69, Y=4.55, Roll=4.8, Pitch=4.4, Yaw=162.1, State=APPROACH, Goal=True, Color=青
X=-0.81, Y=3.76, Roll=-1.5, Pitch=0.2, Yaw=79.6, State=GOAL, Goal=False, Color=青
X=-0.09, Y=3.10, Roll=-4.8, Pitch=-0.7, Yaw=246.7, State=SEARCH, Goal=True, Color=
X=0.06, Y=3.39, Roll=2.4, Pitch=-4.2, Yaw=117.6, State=SEARCH, Goal=False, Color=
X=-0.88, Y=3.09, Roll=-4.1, Pitch=4.8, Yaw=75.2, State=SEARCH, Goal=True, Color=緑
X=-1.20, Y=2.10, Roll=1.7, Pitch=-1.0, Yaw=234.5, State=SEARCH, Goal=True, Color=緑
X=-0.54, Y=2.63, Roll=-2.0, Pitch=-0.8, Yaw=156.6, State=SEARCH, Goal=False, Color=緑
X=-0.62, Y=2.30, Roll=2.5, Pitch=4.3, Yaw=222.1, State=GOAL, Goal=True, Color=赤
X=-0.56, Y=3.03, Roll=-3.0, Pitch=0.9, Yaw=3.0, State=SEARCH, Goal=False, Color=赤
X=0.15, Y=2.43, Roll=1.6, Pitch=-1.0, Yaw=245.8, State=APPROACH, Goal=False, Color=青
X=-0.28, Y=2.37, Roll=2.2, Pitch=-2.4, Yaw=286.0, State=GOAL, Goal=True, Color=青
X=0.55, Y=1.68, Roll=-0.2, Pitch=5.0, Yaw=180.6, State=APPROACH, Goal=True, Color=赤
X=-0.40, Y=0.85, Roll=0.4, Pitch=-1.7, Yaw=43.0, State=APPROACH, Goal=True, Color=青
X=0.32, Y=0.61, Roll=-4.6, Pitch=-1.0, Yaw=150.5, State=SEARCH, Goal=False, Color=赤
X=0.92, Y=0.33, Roll=-2.3, Pitch=-0.7, Yaw=278.1, State=GOAL, Goal=True, Color=緑
X=-0.06, Y=-0.48, Roll=-3.0, Pitch=2.2, Yaw=45.9, State=APPROACH, Goal=False, Color=緑
X=0.56, Y=-0.08, Roll=2.7, Pitch=2.7, Yaw=301.6, State=GOAL, Goal=False, Color=
X=-0.20, Y=-0.91, Roll=2.6, Pitch=1.0, Yaw=271.3, State=SEARCH, Goal=False, Color=緑
X=-0.80, Y=-1.02, Roll=1.5, Pitch=-4.6, Yaw=318.4, State=APPROACH, Goal=False, Color=赤
X=-1.40, Y=-1.43, Roll=0.3, Pitch=3.5, Yaw=154.4, State=GOAL, Goal=True, Color=
X=-1.37, Y=-1.58, Roll=-3.5, Pitch=3.1, Yaw=5.7, State=SEARCH, Goal=True, Color=青
